iter	MultiClass
0	1.593236403
1	1.577126594
2	1.561908505
3	1.547413989
4	1.533091835
5	1.518345703
6	1.504531353
7	1.49097193
8	1.477393546
9	1.464562196
10	1.451583818
11	1.439436063
12	1.42725081
13	1.415881329
14	1.405107764
15	1.393646284
16	1.381971758
17	1.370052613
18	1.359155629
19	1.34858921
20	1.338345117
21	1.328247181
22	1.31777477
23	1.308713074
24	1.29894071
25	1.289611079
26	1.279399791
27	1.270685196
28	1.261601797
29	1.252997792
30	1.244383874
31	1.236420641
32	1.228744371
33	1.220503408
34	1.212026011
35	1.204427119
36	1.196613594
37	1.189014957
38	1.181601554
39	1.174080034
40	1.166762552
41	1.159976791
42	1.152486754
43	1.145733109
44	1.138510858
45	1.131549616
46	1.124571312
47	1.118440605
48	1.11193167
49	1.105545934
50	1.099060757
51	1.092359313
52	1.086260321
53	1.080497032
54	1.074183491
55	1.068139505
56	1.062083769
57	1.056357764
58	1.050347934
59	1.044820752
60	1.039056906
61	1.03391011
62	1.028381997
63	1.022907367
64	1.018108376
65	1.012833527
66	1.00781157
67	1.002447888
68	0.9972374165
69	0.9919426512
70	0.9869456654
71	0.9825751704
72	0.9778327765
73	0.9732405632
74	0.9686914291
75	0.9643293253
76	0.9597886464
77	0.9550607213
78	0.9506657527
79	0.946118409
80	0.9419629377
81	0.9378549104
82	0.9337329446
83	0.9295243726
84	0.9259946809
85	0.9221891898
86	0.9180173642
87	0.9138681312
88	0.9097346374
89	0.9057505883
90	0.9019552185
91	0.8979655393
92	0.893927624
93	0.8902018024
94	0.886434044
95	0.8829350756
96	0.8795220241
97	0.8758461631
98	0.8721605337
99	0.8687578583
100	0.8652094447
101	0.8618612601
102	0.8584856319
103	0.8555411832
104	0.8520186446
105	0.8489689889
106	0.8456151444
107	0.8422606527
108	0.8390768864
109	0.8359796104
110	0.8327489636
111	0.8295793956
112	0.8265871074
113	0.8233160192
114	0.8204836458
115	0.8176823
116	0.8149727809
117	0.8125750129
118	0.8100715592
119	0.8068939935
120	0.8041325929
121	0.8015526611
122	0.7988268106
123	0.7961313183
124	0.7935402336
125	0.7908477091
126	0.7880737041
127	0.7855677424
128	0.7832379229
129	0.7807290386
130	0.7781116035
131	0.7755299449
132	0.7731062782
133	0.7707796638
134	0.7683590675
135	0.7660835038
136	0.7634142126
137	0.7608888873
138	0.7586674923
139	0.7562342587
140	0.7540801723
141	0.7516707008
142	0.7492916473
143	0.7469375521
144	0.7448168793
145	0.7424924493
146	0.7404710505
147	0.7381359058
148	0.7357720208
149	0.7339032744
150	0.7317887528
151	0.7295075985
152	0.7273865512
153	0.725399824
154	0.7234381783
155	0.7213159341
156	0.7192716719
157	0.7172916309
158	0.7153729974
159	0.713419151
160	0.7115065247
161	0.7095401088
162	0.7075516073
163	0.7057422302
164	0.7038884585
165	0.7020495301
166	0.7003449645
167	0.6984077042
168	0.696621663
169	0.6948685439
170	0.6931066139
171	0.6914478022
172	0.6896831443
173	0.687789778
174	0.686033261
175	0.6845783542
176	0.6826530527
177	0.6812528508
178	0.6795843607
179	0.6779935614
180	0.6762949179
181	0.674619351
182	0.6728253286
183	0.6711197557
184	0.6699708555
185	0.6684104423
186	0.6669389361
187	0.6655519819
188	0.6643232748
189	0.6627422641
190	0.6614114172
191	0.6599435191
192	0.6585318841
193	0.6570756484
194	0.6557500384
195	0.6543590161
196	0.6529751383
197	0.6516658092
198	0.6502981763
199	0.648875441
200	0.6475546315
201	0.6462177333
202	0.6452271175
203	0.6439167122
204	0.6427113246
205	0.6414413154
206	0.6399673324
207	0.6387329404
208	0.6379946097
209	0.6366325746
210	0.6354640667
211	0.6341893102
212	0.6327865444
213	0.6315807328
214	0.630516863
215	0.6292707052
216	0.6279268781
217	0.6267742015
218	0.6257756508
219	0.6245518338
220	0.6235072941
221	0.6222745716
222	0.6211876075
223	0.6200773978
224	0.6190482488
225	0.6179481284
226	0.6168825083
227	0.6157322848
228	0.6147469804
229	0.6136489858
230	0.6124764944
231	0.6115575329
232	0.6104540319
233	0.6096339575
234	0.6086035553
235	0.6078283206
236	0.6068682902
237	0.6058313483
238	0.6048957519
239	0.6039627079
240	0.6029369022
241	0.602240055
242	0.6012358161
243	0.6002321762
244	0.5992582703
245	0.5983118078
246	0.5974460647
247	0.596451039
248	0.5955507612
249	0.5946604724
250	0.5939754239
251	0.5930740083
252	0.5922040457
253	0.5913348688
254	0.5903639127
255	0.589343649
256	0.5884951426
257	0.5877850654
258	0.5868788642
259	0.5860237686
260	0.5851652833
261	0.5844982399
262	0.5838749416
263	0.5829880523
264	0.5819852424
265	0.5813712684
266	0.5805912288
267	0.5797801822
268	0.5789921695
269	0.5781437111
270	0.5772836149
271	0.5767876513
272	0.5760378397
273	0.5752787153
274	0.5745782682
275	0.57369261
276	0.5729184102
277	0.572355279
278	0.5715200445
279	0.5708318422
280	0.570160651
281	0.5697188959
282	0.568979971
283	0.5682735965
284	0.5677451939
285	0.5670346989
286	0.5663525078
287	0.5656951535
288	0.5650894214
289	0.5643083147
290	0.5635738468
291	0.5628565932
292	0.5620903837
293	0.5613876422
294	0.5606977967
295	0.5601516497
296	0.5593659915
297	0.5586920096
298	0.5580149852
299	0.5573668547
